4,0,2,1,0,2,2,6,6,6,0,0,0,0,7,0,0,1,8,8
4,4,2,0,4,0,1,6,6,6,7,0,1,7,5,5,5,0,8,8
4,4,4,4,4,0,0,0,1,7,7,2,2,0,5,0,0,8,8,8
4,0,0,4,4,3,7,7,7,7,5,0,0,0,5,9,9,8,2,0
0,5,5,0,0,3,0,5,5,5,5,0,1,0,9,9,9,9,2,0
0,5,1,0,0,3,0,2,2,0,2,2,0,0,2,0,4,9,0,1
0,5,0,1,3,0,0,0,0,0,0,0,1,0,2,0,4,9,9,0
0,5,0,3,3,2,1,3,0,0,0,1,0,0,0,0,4,0,0,0
0,0,0,0,0,2,0,3,0,0,0,0,3,3,3,0,4,0,1,0
7,7,7,7,7,5,5,3,0,1,0,8,0,2,6,0,0,2,0,0
7,7,7,7,7,5,5,8,8,2,2,8,6,2,6,0,0,2,1,0
7,7,7,7,1,5,8,8,8,8,8,8,6,6,6,1,0,0,0,1
0,3,0,2,0,0,8,8,8,8,2,0,0,0,0,0,1,0,3,0
0,3,0,2,0,0,8,8,1,0,2,8,8,8,8,8,8,2,3,0
0,3,0,0,0,5,5,5,5,5,0,8,2,2,0,0,0,2,3,1
6,6,1,0,0,0,0,0,1,3,2,8,0,2,2,0,0,0,0,0
6,1,0,0,4,4,0,0,0,3,2,0,3,0,0,0,1,0,0,0
6,0,0,0,4,4,0,0,0,3,0,2,3,0,6,6,0,7,4,0
6,0,8,8,8,0,3,3,3,0,1,2,3,2,6,6,7,0,4,4
6,0,8,8,8,8,8,0,3,3,3,0,0,2,6,6,0,0,0,4
